"pet_id","date","activity_type","duration_minutes"
831,2022-09-10,"Rest","-"
7482,2023-01-21,"Walk","90"
7716,2022-04-06,"Play","26"
5091,2023-11-04,"Walking","63"
7757,2023-06-08,"Resting","-"
7692,2022-09-14,"Walk","85"
3727,2023-03-06,"Walking","61"
774,2023-11-09,"Playing","50"
9322,2023-02-10,"Walking","75"
1261,2023-07-26,"Walking","-"
6141,2023-03-14,"Playing","4"
7416,2023-08-30,"Walking","24"
2837,2022-04-10,"Play","41"
2898,2022-10-06,"Walking","-"
741,2023-01-10,"Playing","36"
5632,2023-09-20,"Walking","-"
7190,2023-07-11,"Walking","61"
6838,2022-10-23,"Resting","39"
7833,2023-05-28,"Playing","-"
3988,2023-08-23,"Playing","36"
8354,2023-05-07,"Resting","-"
4098,2022-05-15,"Walking","22"
2729,2023-09-04,"Playing","50"
8149,2023-11-28,"Playing","27"
3088,2023-07-18,"Walking","4"
7281,2022-04-02,"Walking","64"
7296,2023-05-12,"Playing","76"
3300,2023-03-10,"Playing","62"
3289,2023-12-02,"Playing","56"
4584,2023-10-12,"Playing","-"
5540,2022-04-04,"Playing","33"
6480,2023-10-27,"Walking","5"
5445,2023-01-18,"Rest","46"
9900,2022-10-30,"Walking","82"
627,2022-10-29,"Resting","89"
3520,2022-12-25,"Playing","78"
3420,2023-09-02,"Walking","22"
637,2023-10-26,"Playing","-"
3088,2022-10-15,"Playing","69"
5107,2022-10-30,"Playing","80"
7692,2022-11-22,"Walking","-"
7825,2023-03-14,"Walking","66"
7778,2023-09-03,"Walking","35"
1956,2022-07-25,"Resting","43"
2840,2022-09-14,"Resting","10"
5563,2023-12-21,"Playing","47"
542,2022-06-09,"Playing","71"
5457,2023-06-18,"Resting","2"
2058,2022-06-23,"Resting","62"
6194,2022-08-05,"Playing","21"
309,2022-11-28,"Walking","-"
7891,2023-04-22,"Walking","9"
8746,2023-03-24,"Playing","48"
997,2022-06-01,"Play","16"
5345,2022-11-17,"Playing","89"
6896,2022-05-25,"Resting","89"
9367,2023-02-17,"Playing","14"
5578,2023-06-02,"Resting","13"
8586,2023-01-19,"Play","34"
6467,2023-01-29,"Resting","1"
9115,2023-01-29,"Rest","86"
9452,2023-06-02,"Playing","16"
4073,2023-09-26,"Resting","71"
6683,2022-09-16,"Resting","53"
3001,2023-09-21,"Playing","73"
3856,2023-02-17,"Walking","30"
9244,2023-02-15,"Resting","73"
3220,2022-05-17,"Walking","84"
4643,2023-05-18,"Walking","-"
2144,2022-10-31,"Walking","29"
5334,2023-02-14,"Resting","45"
7766,2022-06-11,"Playing","-"
9874,2022-08-16,"Playing","-"
7190,2022-12-13,"Walking","-"
8455,2023-11-01,"Playing","10"
8349,2023-03-15,"Resting","10"
2415,2022-04-23,"Walking","83"
1441,2022-12-02,"Resting","-"
696,2023-11-30,"Resting","70"
6620,2022-10-14,"Walking","72"
217,2022-12-09,"Walking","-"
8586,2023-11-17,"Resting","50"
7393,2022-11-08,"Resting","87"
1678,2023-02-03,"Resting","-"
7212,2023-04-21,"Resting","26"
4947,2022-12-07,"Resting","-"
9008,2023-04-24,"Resting","23"
5090,2022-06-29,"Resting","3"
8418,2022-05-07,"Walking","36"
5975,2022-11-05,"Rest","4"
1417,2023-09-29,"Walking","62"
2726,2022-08-18,"Playing","62"
5216,2023-10-15,"Walking","80"
4778,2023-02-04,"Walking","87"
5540,2023-09-19,"Playing","25"
8342,2023-07-26,"Play","-"
8981,2022-05-24,"Playing","-"
2178,2023-08-01,"Resting","-"
1261,2023-11-08,"Playing","-"
3605,2022-07-03,"Walking","6"
3530,2023-10-27,"Rest","57"
997,2023-04-21,"Resting","11"
7030,2023-02-08,"Walking","54"
2898,2023-11-15,"Walking","-"
6919,2023-06-11,"Walk","1"
337,2023-12-21,"Playing","32"
4690,2022-11-06,"Playing","79"
8103,2022-08-19,"Resting","8"
5958,2022-11-04,"Playing","66"
2342,2023-05-12,"Walking","51"
6087,2022-07-28,"Playing","20"
7642,2022-12-28,"Playing","-"
4024,2022-12-30,"Resting","51"
3147,2022-11-22,"Rest","69"
3026,2022-08-26,"Playing","76"
6729,2023-11-28,"Resting","36"
8237,2023-11-14,"Walking","43"
6103,2023-07-16,"Playing","9"
751,2023-02-09,"Walking","-"
6896,2022-09-27,"Walking","36"
1564,2023-05-10,"Walking","-"
3289,2023-09-25,"Playing","78"
6103,2022-05-21,"Playing","16"
6939,2023-02-27,"Resting","-"
532,2023-07-26,"Walking","72"
1366,2023-07-14,"Walking","-"
8804,2022-05-08,"Playing","20"
7788,2022-11-12,"Resting","-"
5008,2022-05-14,"Walking","24"
833,2023-12-05,"Resting","73"
3370,2022-11-25,"Walking","78"
3154,2022-10-05,"Walking","42"
1635,2023-04-29,"Resting","13"
1159,2023-11-22,"Playing","10"
1207,2022-07-27,"Resting","22"
5699,2023-07-04,"Walk","29"
4584,2023-12-03,"Walk","73"
4726,2022-11-17,"Playing","74"
3088,2023-08-26,"Walking","87"
9018,2023-07-14,"Resting","86"
1060,2023-09-23,"Resting","41"
5643,2023-04-28,"Playing","-"
2726,2023-03-20,"Playing","25"
1297,2022-04-05,"Playing","21"
8349,2023-12-08,"Playing","80"
1441,2023-06-07,"Playing","14"
8208,2023-04-06,"Walking","-"
7936,2023-08-22,"Resting","71"
1297,2022-09-23,"Rest","48"
8349,2023-07-31,"Walking","50"
9581,2023-02-11,"Walking","65"
209,2023-11-15,"Walk","61"
5503,2022-07-05,"Resting","25"
986,2023-05-28,"Playing","58"
9163,2022-08-08,"Resting","26"
9244,2023-02-04,"Resting","48"
3410,2022-11-25,"Walking","-"
5457,2023-11-27,"Resting","61"
8805,2023-08-05,"Resting","80"
5925,2022-11-22,"Playing","57"
4307,2022-09-26,"Playing","67"
6332,2022-06-22,"Resting","84"
6729,2023-11-24,"Resting","78"
7515,2022-09-25,"Playing","9"
6435,2022-09-10,"Walking","14"
8518,2022-06-13,"Walking","83"
9578,2023-10-26,"Walking","47"
239,2023-10-15,"Playing","-"
3946,2023-11-09,"Walking","28"
503,2023-05-07,"Resting","47"
6901,2022-10-14,"Walking","58"
9555,2022-05-10,"Resting","55"
7936,2023-01-19,"Walking","52"
556,2023-11-03,"Walking","34"
3147,2023-12-15,"Walking","60"
6851,2023-02-16,"Resting","16"
9695,2023-05-14,"Playing","31"
4734,2023-08-19,"Walking","66"
4278,2022-10-26,"Walking","90"
7833,2023-03-06,"Play","29"
7833,2022-10-17,"Playing","18"
2805,2023-09-12,"Resting","67"
1846,2022-08-10,"Walking","31"
8418,2022-07-20,"Rest","41"
2016,2023-12-06,"Play","73"
2350,2023-08-26,"Playing","12"
9244,2023-04-29,"Resting","26"
217,2023-06-01,"Resting","-"
3856,2022-10-08,"Resting","14"
4778,2023-02-24,"Resting","15"
4726,2022-11-26,"Walking","-"
9191,2022-04-14,"Walking","43"
83,2022-09-20,"Playing","54"
2544,2023-12-10,"Resting","-"
7117,2023-12-16,"Walking","43"
8226,2023-08-22,"Walking","56"
782,2023-08-10,"Walking","43"
5231,2022-10-16,"Playing","-"
6087,2023-05-02,"Playing","19"
6205,2023-09-16,"Walk","19"
7482,2023-03-31,"Walking","38"
9684,2023-01-11,"Walking","38"
8877,2023-01-10,"Rest","2"
3017,2023-02-22,"Resting","54"
9271,2023-10-27,"Resting","80"
7680,2022-04-09,"Playing","55"
3686,2022-12-20,"Resting","-"
2893,2023-07-26,"Resting","47"
9721,2022-05-19,"Resting","-"
9218,2023-03-26,"Resting","58"
9071,2022-07-09,"Play","66"
2471,2022-09-20,"Walking","19"
4098,2023-11-24,"Playing","36"
9452,2022-05-24,"Playing","5"
5445,2023-08-20,"Resting","22"
3100,2023-06-17,"Resting","3"
3884,2022-05-23,"Resting","84"
4346,2022-06-29,"Playing","53"
7766,2023-06-24,"Walking","-"
8353,2023-12-24,"Playing","79"
3463,2023-07-09,"Resting","13"
3686,2022-10-26,"Playing","9"
5799,2022-07-17,"Resting","83"
7757,2023-10-22,"Resting","8"
4438,2022-10-08,"Playing","-"
4934,2022-12-28,"Rest","28"
5540,2023-06-05,"Walking","17"
7642,2023-10-09,"Resting","77"
2726,2023-05-30,"Playing","52"
7833,2022-08-10,"Resting","74"
2869,2022-04-04,"Walking","-"
2060,2022-12-19,"Playing","-"
1925,2022-06-17,"Resting","22"
5925,2023-11-03,"Walk","74"
7331,2023-07-21,"Resting","70"
9539,2023-09-06,"Play","49"
5823,2022-09-06,"Walking","37"
1939,2023-12-01,"Play","75"
741,2023-06-18,"Walk","-"
2783,2023-05-15,"Resting","64"
427,2023-12-20,"Walking","41"
7788,2023-04-06,"Walking","34"
6147,2023-03-14,"Walking","-"
7716,2022-10-12,"Resting","61"
6556,2023-12-23,"Playing","58"
6241,2023-04-30,"Playing","15"
4937,2022-10-06,"Walking","-"
3846,2023-06-01,"Resting","59"
9692,2023-04-08,"Resting","81"
3224,2023-06-04,"Walking","82"
5404,2023-10-18,"Resting","60"
6689,2022-12-27,"Playing","62"
6838,2023-05-07,"Playing","79"
5216,2023-07-28,"Walking","46"
8070,2023-01-08,"Resting","40"
6729,2022-07-24,"Playing","8"
9712,2023-10-25,"Resting","24"
7296,2023-02-25,"Resting","6"
9632,2023-02-03,"Playing","46"
5850,2023-05-10,"Playing","57"
9561,2022-05-05,"Resting","36"
9692,2023-12-03,"Walking","75"
2448,2022-10-23,"Walking","-"
864,2023-02-09,"Resting","28"
3735,2023-03-05,"Resting","12"
5216,2023-08-31,"Resting","56"
3885,2022-09-11,"Walking","-"
9,2022-06-01,"Playing","80"
4912,2023-06-03,"Rest","33"
2893,2023-06-08,"Resting","22"
4778,2022-10-12,"Resting","18"
4346,2023-05-12,"Resting","38"
1382,2022-11-18,"Playing","40"
9230,2022-07-18,"Resting","43"
7716,2022-05-17,"Playing","8"
9305,2022-05-19,"Walking","-"
3946,2023-03-24,"Walking","-"
5334,2022-06-11,"Walking","14"
9922,2022-04-21,"Playing","-"
8903,2022-10-05,"Playing","16"
3484,2023-10-07,"Play","64"
209,2022-09-11,"Resting","20"
9367,2023-02-04,"Playing","37"
8387,2022-10-29,"Playing","-"
833,2023-05-28,"Playing","79"
9319,2023-09-09,"Resting","82"
8412,2023-05-09,"Playing","35"
5693,2022-07-17,"Playing","74"
6963,2023-02-22,"Walking","-"
9558,2022-09-23,"Playing","27"
9221,2023-11-05,"Walking","54"
3587,2022-11-11,"Resting","87"
2060,2023-12-11,"Walking","23"
5799,2022-09-26,"Walking","-"
5789,2023-07-03,"Walking","68"
7692,2022-11-30,"Resting","43"
6467,2023-10-15,"Resting","21"
8237,2023-10-09,"Resting","89"
538,2023-05-18,"Resting","71"
5540,2023-08-22,"Walking","18"
3190,2023-03-03,"Playing","63"
3330,2023-12-09,"Playing","79"
5799,2023-01-19,"Walking","-"
5503,2022-12-01,"Playing","-"
4995,2022-06-24,"Playing","45"
7281,2023-12-09,"Resting","38"
8676,2022-08-29,"Resting","29"
2881,2023-03-01,"Resting","31"
6620,2022-07-02,"Walking","32"
3132,2023-08-31,"Resting","-"
6482,2023-01-22,"Walk","78"
7936,2023-09-25,"Resting","-"
4238,2022-05-19,"Playing","64"
6518,2023-09-12,"Resting","29"
997,2023-07-23,"Playing","-"
2733,2023-10-15,"Playing","54"
2289,2023-11-07,"Resting","25"
4480,2022-08-31,"Walking","-"
5940,2023-03-06,"Resting","72"
6859,2023-03-13,"Walking","46"
7117,2023-10-16,"Walking","41"
9684,2023-10-25,"Play","-"
5630,2022-06-28,"Resting","8"
1370,2022-07-23,"Walking","6"
3467,2023-04-21,"Walking","63"
5799,2023-06-16,"Play","17"
5984,2022-11-19,"Playing","45"
5555,2023-12-15,"Playing","55"
236,2022-05-04,"Resting","39"
9018,2022-11-30,"Playing","55"
3946,2022-10-22,"Walking","36"
9539,2023-02-03,"Rest","41"
2262,2023-08-10,"Walking","-"
9030,2023-01-04,"Walking","29"
8940,2022-11-28,"Resting","36"
8070,2023-12-16,"Playing","-"
1169,2023-04-25,"Playing","12"
3936,2023-03-12,"Resting","-"
9008,2023-08-14,"Playing","85"
1322,2023-01-21,"Walk","42"
1640,2023-09-09,"Resting","60"
4238,2023-07-20,"Rest","56"
6467,2023-08-24,"Resting","81"
8691,2022-10-14,"Resting","17"
9485,2022-08-22,"Play","-"
627,2023-09-17,"Walking","-"
6897,2022-10-31,"Resting","8"
1585,2023-04-23,"Resting","48"
6089,2022-09-01,"Walking","88"
8226,2023-11-07,"Play","7"
8285,2022-11-18,"Walking","19"
3612,2023-12-09,"Resting","34"
1006,2022-07-05,"Walking","49"
1207,2023-07-30,"Playing","-"
5071,2022-08-15,"Walking","72"
7267,2022-07-28,"Resting","81"
2441,2023-07-17,"Playing","4"
9618,2023-08-11,"Resting","-"
239,2023-03-02,"Play","-"
3767,2023-01-04,"Play","70"
2888,2023-11-09,"Resting","52"
9539,2023-10-22,"Walking","78"
1846,2022-09-16,"Playing","43"
249,2022-08-29,"Resting","-"
503,2022-10-16,"Walking","-"
5395,2023-05-13,"Resting","5"
5563,2023-07-06,"Playing","29"
9968,2022-08-19,"Walking","-"
5540,2023-09-14,"Walking","63"
4238,2023-05-30,"Resting","72"
2888,2022-08-05,"Playing","64"
6897,2023-08-02,"Walking","49"
1906,2022-04-02,"Resting","-"
1888,2023-12-02,"Playing","53"
2869,2022-07-21,"Resting","-"
8244,2022-04-03,"Resting","64"
6917,2022-10-01,"Resting","71"
8989,2022-05-25,"Walking","-"
3304,2023-01-02,"Resting","55"
782,2023-09-24,"Playing","66"
9946,2023-10-09,"Resting","-"
9539,2022-12-07,"Playing","2"
6683,2023-06-09,"Playing","80"
3750,2023-01-31,"Playing","8"
8805,2022-11-01,"Resting","49"
209,2023-11-01,"Walk","69"
585,2023-03-01,"Resting","-"
3885,2023-06-02,"Walking","33"
3695,2023-10-09,"Playing","46"
3040,2023-10-04,"Playing","69"
6209,2022-07-10,"Playing","64"
542,2023-11-27,"Resting","90"
8354,2023-10-01,"Playing","-"
1216,2022-08-08,"Resting","-"
8070,2022-11-04,"Walk","42"
7975,2023-12-13,"Walk","58"
7666,2022-08-16,"Resting","88"
8149,2023-10-22,"Playing","44"
8237,2022-10-27,"Walk","49"
8412,2022-04-04,"Rest","38"
8572,2023-07-21,"Playing","4"
2544,2022-09-23,"Resting","19"
5071,2023-04-29,"Walking","5"
7818,2023-10-10,"Playing","78"
3784,2023-08-12,"Playing","-"
4643,2023-09-08,"Resting","-"
2191,2023-06-05,"Resting","78"
7004,2023-03-21,"Resting","4"
696,2022-12-10,"Playing","35"
3291,2023-04-17,"Walking","29"
6919,2023-02-03,"Walking","-"
5919,2023-04-04,"Resting","-"
658,2023-06-06,"Playing","4"
7022,2022-06-23,"Resting","17"
8226,2022-06-09,"Resting","21"
5090,2022-12-09,"Walking","-"
5823,2023-02-22,"Resting","-"
2144,2023-10-23,"Resting","-"
7010,2023-12-10,"Resting","-"
2287,2023-07-16,"Playing","5"
9874,2023-08-27,"Playing","40"
3617,2023-06-18,"Resting","-"
5288,2023-10-27,"Resting","41"
5421,2023-11-06,"Resting","54"
2549,2022-04-17,"Walking","51"
1417,2023-09-21,"Playing","2"
5863,2023-04-19,"Play","-"
7757,2022-08-31,"Resting","46"
1564,2022-12-05,"Resting","17"
9472,2022-05-10,"Playing","35"
1949,2022-08-08,"Walking","28"
717,2023-11-19,"Playing","21"
1047,2022-04-26,"Playing","16"
337,2023-04-09,"Resting","54"
2544,2023-03-02,"Walking","5"
1169,2023-08-20,"Playing","78"
4934,2023-08-17,"Playing","38"
6332,2022-10-24,"Walking","-"
8070,2023-01-04,"Playing","-"
2448,2023-11-06,"Resting","74"
2733,2022-07-08,"Playing","31"
3530,2023-06-24,"Walking","-"
8840,2023-07-05,"Playing","-"
6896,2022-08-19,"Resting","-"
8789,2023-03-18,"Playing","27"
2284,2022-05-24,"Resting","30"
9695,2023-09-05,"Walking","25"
3638,2023-03-27,"Playing","84"
9186,2023-04-25,"Resting","47"
1949,2023-02-07,"Playing","79"
83,2022-11-26,"Playing","54"
1417,2023-09-02,"Resting","43"
2882,2022-09-13,"Playing","66"
1006,2022-05-20,"Resting","18"
4480,2022-08-23,"Walking","42"
9186,2023-05-29,"Rest","18"
2415,2022-11-23,"Playing","63"
5418,2023-12-14,"Playing","72"
3846,2023-07-12,"Rest","31"
4195,2022-06-27,"Resting","67"
2881,2022-07-17,"Playing","-"
8691,2023-08-27,"Resting","69"
7680,2023-11-17,"Play","46"
6121,2023-08-24,"Walking","-"
2901,2022-12-28,"Playing","79"
5404,2022-11-14,"Walking","19"
9356,2022-06-22,"Resting","14"
6939,2022-11-17,"Resting","62"
5563,2023-12-16,"Walking","90"
2733,2022-11-08,"Play","60"
2726,2022-11-14,"Walking","35"
3309,2023-04-03,"Playing","-"
2735,2022-07-14,"Resting","-"
6778,2023-04-29,"Playing","2"
4045,2023-03-19,"Walking","47"
3830,2022-10-28,"Resting","33"
6919,2022-09-17,"Playing","90"
1239,2023-10-09,"Resting","4"
1239,2023-09-21,"Playing","5"
9988,2023-06-28,"Play","-"
249,2022-10-24,"Walking","62"
5406,2022-10-12,"Playing","79"
3988,2022-12-30,"Walking","14"
1292,2022-09-26,"Walking","7"
2869,2023-04-30,"Playing","-"
6620,2023-09-17,"Walking","45"
5501,2022-12-12,"Playing","4"
751,2022-10-16,"Playing","29"
6778,2023-03-11,"Walking","58"
9485,2023-02-09,"Playing","63"
4073,2022-12-20,"Playing","85"
9712,2023-01-25,"Rest","64"
4899,2023-10-14,"Playing","90"
3463,2022-08-15,"Resting","19"
2235,2022-12-08,"Play","35"
9305,2022-09-25,"Playing","85"
3727,2023-10-13,"Playing","56"
9445,2023-07-04,"Play","20"
3466,2023-10-02,"Resting","-"
1888,2023-02-28,"Walking","16"
2094,2023-03-06,"Walking","-"
9930,2023-05-15,"Walk","-"
2381,2022-10-25,"Walking","-"
8047,2023-12-06,"Playing","39"
6315,2023-10-22,"Play","-"
7281,2022-07-10,"Walking","20"
309,2022-04-13,"Playing","32"
6172,2023-02-07,"Resting","4"
3617,2022-07-20,"Resting","18"
3885,2023-07-05,"Walking","37"
5231,2023-03-08,"Playing","-"
9581,2022-09-28,"Resting","44"
4995,2022-11-02,"Playing","-"
3300,2022-11-12,"Walking","-"
694,2022-08-06,"Resting","67"
6075,2023-06-09,"Resting","11"
2549,2022-07-21,"Walking","76"
1564,2023-02-02,"Resting","40"
9305,2022-11-04,"Resting","-"
3001,2023-03-25,"Walking","85"
5091,2023-12-10,"Resting","47"
1370,2023-04-25,"Resting","-"
5404,2022-11-15,"Walking","-"
9946,2022-11-19,"Walking","81"
7766,2023-04-15,"Walking","20"
8208,2023-11-25,"Walking","31"
2191,2022-11-27,"Resting","21"
2888,2023-08-14,"Walking","66"
884,2022-04-01,"Walking","79"
9472,2022-04-25,"Walk","59"
637,2022-04-04,"Playing","33"
9561,2023-10-29,"Walking","1"
6824,2022-11-28,"Walk","78"
3223,2023-07-08,"Rest","62"
9692,2022-06-07,"Resting","70"
1297,2023-11-04,"Playing","64"
5747,2023-10-05,"Walking","48"
9930,2022-09-13,"Resting","46"
8455,2022-06-25,"Walking","-"
9721,2022-11-03,"Resting","61"
5037,2023-09-21,"Playing","17"
2058,2023-12-21,"Playing","79"
5925,2023-03-16,"Playing","66"
1678,2022-05-14,"Walking","85"
601,2023-03-01,"Playing","42"
8716,2023-01-09,"Resting","70"
9930,2023-03-16,"Resting","34"
