"pet_id","visit_date","issue","resolution"
2726,2023-07-15,"Annual Checkup","Diet adjustment recommended for weight management"
3154,2023-03-15,"Injury","Sprain identified, rest and limited movement advised"
556,2023-02-28,"Annual Checkup","Vaccination completed, next due in 1 year"
3884,2022-04-02,"Ear Infection","Medication and follow-up in 2 weeks for infection"
3828,2022-06-11,"Annual Checkup","Vaccination completed, next due in 1 year"
6141,2022-05-15,"Dental Cleaning","Cleaning done, no dental issues"
5501,2023-04-29,"Annual Checkup","Diet adjustment recommended for weight management"
5071,2023-10-23,"Annual Checkup","All clear, healthy diet recommended"
8342,2022-04-05,"Annual Checkup","Diet adjustment recommended for weight management"
5823,2023-02-13,"Ear Infection","Medication and follow-up in 2 weeks for infection"
8702,2022-04-07,"Injury","Physical therapy recommended for joint issues"
2898,2023-12-30,"Dental Cleaning","Cleaning done, no dental issues"
4955,2022-11-06,"Dental Cleaning","Cleaning done, no dental issues"
6141,2023-01-01,"Injury","Sprain identified, rest and limited movement advised"
2777,2023-11-08,"Dental Cleaning","Cleaning done, no dental issues"
4307,2023-10-16,"Injury","Sprain identified, rest and limited movement advised"
3370,2023-06-20,"Dental Cleaning","Cleaning done, no dental issues"
8705,2023-03-21,"Annual Checkup","Vaccination completed, next due in 1 year"
3856,2022-05-27,"Ear Infection","Medication and follow-up in 2 weeks for infection"
556,2023-12-23,"Annual Checkup","Vaccination completed, next due in 1 year"
579,2023-01-20,"Dental Cleaning","Cleaning done, no dental issues"
4834,2023-11-10,"Injury","Sprain identified, rest and limited movement advised"
4899,2022-05-02,"Annual Checkup","Diet adjustment recommended for weight management"
5243,2022-11-22,"Annual Checkup","Diet adjustment recommended for weight management"
2549,2022-09-28,"Injury","Sprain identified, rest and limited movement advised"
579,2023-04-07,"Dental Cleaning","Cleaning done, no dental issues"
1303,2023-01-28,"Annual Checkup","Diet adjustment recommended for weight management"
8177,2023-08-14,"Injury","Sprain identified, rest and limited movement advised"
1963,2023-10-08,"Annual Checkup","All clear, healthy diet recommended"
1173,2023-02-14,"Annual Checkup","Diet adjustment recommended for weight management"
9466,2022-07-17,"Annual Checkup","All clear, healthy diet recommended"
3936,2022-07-10,"Annual Checkup","Vaccination completed, next due in 1 year"
8047,2023-09-21,"Dental Cleaning","Cleaning done, no dental issues"
8691,2022-11-11,"Annual Checkup","All clear, healthy diet recommended"
6032,2023-12-01,"Annual Checkup","Diet adjustment recommended for weight management"
9236,2022-04-27,"Injury","Physical therapy recommended for joint issues"
2912,2022-12-30,"Ear Infection","Medication and follow-up in 2 weeks for infection"
3040,2023-08-09,"Dental Cleaning","Cleaning done, no dental issues"
5421,2023-06-09,"Annual Checkup","Vaccination completed, next due in 1 year"
1057,2023-03-20,"Dental Cleaning","Cleaning done, no dental issues"
7975,2023-09-18,"Annual Checkup","Diet adjustment recommended for weight management"
9684,2022-07-29,"Dental Cleaning","Cleaning done, no dental issues"
3100,2022-08-25,"Dental Cleaning","Cleaning done, no dental issues"
2513,2022-10-24,"Injury","Physical therapy recommended for joint issues"
6901,2023-05-13,"Dental Cleaning","Cleaning done, no dental issues"
5090,2023-02-27,"Annual Checkup","All clear, healthy diet recommended"
2882,2022-07-02,"Annual Checkup","Vaccination completed, next due in 1 year"
741,2022-11-08,"Injury","Physical therapy recommended for joint issues"
3612,2023-12-04,"Dental Cleaning","Cleaning done, no dental issues"
9946,2023-01-13,"Dental Cleaning","Cleaning done, no dental issues"
5323,2022-06-19,"Injury","Sprain identified, rest and limited movement advised"
3484,2023-10-09,"Injury","Physical therapy recommended for joint issues"
4768,2023-04-18,"Annual Checkup","All clear, healthy diet recommended"
5198,2022-07-11,"Annual Checkup","Vaccination completed, next due in 1 year"
601,2023-07-21,"Annual Checkup","Vaccination completed, next due in 1 year"
1292,2023-10-20,"Annual Checkup","All clear, healthy diet recommended"
3304,2023-06-25,"Injury","Minor surgery performed, recovery monitored"
4410,2023-02-13,"Dental Cleaning","Cleaning done, no dental issues"
6480,2022-09-27,"Ear Infection","Medication and follow-up in 2 weeks for infection"
8318,2022-05-03,"Annual Checkup","Vaccination completed, next due in 1 year"
5789,2023-09-26,"Annual Checkup","Diet adjustment recommended for weight management"
637,2022-10-12,"Annual Checkup","Vaccination completed, next due in 1 year"
3190,2023-01-10,"Ear Infection","Medication and follow-up in 2 weeks for infection"
2805,2023-08-02,"Annual Checkup","Diet adjustment recommended for weight management"
1334,2022-04-30,"Annual Checkup","All clear, healthy diet recommended"
3370,2023-09-04,"Ear Infection","Medication and follow-up in 2 weeks for infection"
5017,2023-03-04,"Injury","Physical therapy recommended for joint issues"
7352,2023-12-07,"Dental Cleaning","Cleaning done, no dental issues"
833,2022-12-15,"Dental Cleaning","Cleaning done, no dental issues"
7799,2022-04-19,"Annual Checkup","All clear, healthy diet recommended"
1322,2023-04-17,"Dental Cleaning","Cleaning done, no dental issues"
9706,2023-09-27,"Injury","Minor surgery performed, recovery monitored"
1735,2023-09-20,"Annual Checkup","Vaccination completed, next due in 1 year"
6087,2023-07-13,"Annual Checkup","Diet adjustment recommended for weight management"
500,2023-09-24,"Annual Checkup","Vaccination completed, next due in 1 year"
3057,2023-08-10,"Annual Checkup","Diet adjustment recommended for weight management"
5563,2022-11-15,"Annual Checkup","Diet adjustment recommended for weight management"
6838,2022-06-20,"Annual Checkup","Vaccination completed, next due in 1 year"
3300,2023-09-05,"Annual Checkup","All clear, healthy diet recommended"
5008,2023-10-29,"Annual Checkup","Vaccination completed, next due in 1 year"
83,2022-06-16,"Dental Cleaning","Cleaning done, no dental issues"
5610,2022-10-15,"Injury","Minor surgery performed, recovery monitored"
8412,2023-10-16,"Annual Checkup","All clear, healthy diet recommended"
1417,2022-09-22,"Injury","Sprain identified, rest and limited movement advised"
7936,2023-09-20,"Injury","Minor surgery performed, recovery monitored"
3088,2023-03-23,"Annual Checkup","Vaccination completed, next due in 1 year"
7022,2023-03-28,"Annual Checkup","Diet adjustment recommended for weight management"
309,2023-05-02,"Annual Checkup","Diet adjustment recommended for weight management"
3530,2023-03-01,"Annual Checkup","All clear, healthy diet recommended"
4777,2022-08-14,"Annual Checkup","Vaccination completed, next due in 1 year"
7970,2023-08-19,"Dental Cleaning","Cleaning done, no dental issues"
997,2022-05-05,"Annual Checkup","Vaccination completed, next due in 1 year"
4074,2023-08-10,"Injury","Sprain identified, rest and limited movement advised"
1060,2022-08-02,"Dental Cleaning","Cleaning done, no dental issues"
9968,2023-04-30,"Annual Checkup","All clear, healthy diet recommended"
2893,2023-12-14,"Annual Checkup","Vaccination completed, next due in 1 year"
9030,2023-09-03,"Injury","Minor surgery performed, recovery monitored"
3484,2023-06-27,"Dental Cleaning","Cleaning done, no dental issues"
9357,2023-04-25,"Ear Infection","Medication and follow-up in 2 weeks for infection"
236,2022-06-03,"Injury","Minor surgery performed, recovery monitored"
5925,2022-06-26,"Annual Checkup","All clear, healthy diet recommended"
6331,2022-07-14,"Annual Checkup","Vaccination completed, next due in 1 year"
3026,2022-04-09,"Injury","Physical therapy recommended for joint issues"
5008,2023-01-23,"Annual Checkup","Vaccination completed, next due in 1 year"
2218,2022-06-03,"Annual Checkup","Diet adjustment recommended for weight management"
215,2022-12-14,"Dental Cleaning","Cleaning done, no dental issues"
4768,2023-10-10,"Annual Checkup","Diet adjustment recommended for weight management"
1366,2022-12-03,"Ear Infection","Medication and follow-up in 2 weeks for infection"
7706,2023-11-05,"Dental Cleaning","Cleaning done, no dental issues"
4690,2023-09-01,"Annual Checkup","Vaccination completed, next due in 1 year"
5610,2022-07-20,"Dental Cleaning","Cleaning done, no dental issues"
4947,2023-08-27,"Injury","Minor surgery performed, recovery monitored"
8805,2023-05-25,"Ear Infection","Medication and follow-up in 2 weeks for infection"
9227,2023-01-06,"Annual Checkup","All clear, healthy diet recommended"
6816,2022-05-09,"Annual Checkup","Vaccination completed, next due in 1 year"
5414,2023-06-05,"Injury","Sprain identified, rest and limited movement advised"
9319,2022-04-05,"Annual Checkup","Vaccination completed, next due in 1 year"
5747,2023-04-04,"Annual Checkup","All clear, healthy diet recommended"
248,2022-11-06,"Annual Checkup","Diet adjustment recommended for weight management"
8967,2022-07-12,"Annual Checkup","Vaccination completed, next due in 1 year"
9946,2023-07-12,"Dental Cleaning","Cleaning done, no dental issues"
2733,2023-11-06,"Annual Checkup","Vaccination completed, next due in 1 year"
309,2022-10-31,"Annual Checkup","Vaccination completed, next due in 1 year"
3830,2023-04-29,"Annual Checkup","All clear, healthy diet recommended"
6934,2023-03-18,"Annual Checkup","Diet adjustment recommended for weight management"
6205,2023-07-08,"Annual Checkup","Diet adjustment recommended for weight management"
3420,2022-09-30,"Annual Checkup","Vaccination completed, next due in 1 year"
7785,2023-04-14,"Annual Checkup","All clear, healthy diet recommended"
9960,2022-04-02,"Annual Checkup","Diet adjustment recommended for weight management"
986,2023-04-18,"Annual Checkup","Diet adjustment recommended for weight management"
1322,2022-06-15,"Injury","Sprain identified, rest and limited movement advised"
8710,2022-12-19,"Dental Cleaning","Cleaning done, no dental issues"
5540,2022-08-30,"Annual Checkup","Diet adjustment recommended for weight management"
6032,2022-09-20,"Injury","Sprain identified, rest and limited movement advised"
4073,2022-09-15,"Annual Checkup","Diet adjustment recommended for weight management"
9922,2022-06-05,"Annual Checkup","Vaccination completed, next due in 1 year"
5301,2023-07-09,"Dental Cleaning","Cleaning done, no dental issues"
1297,2022-05-05,"Annual Checkup","Vaccination completed, next due in 1 year"
6620,2023-07-02,"Annual Checkup","Diet adjustment recommended for weight management"
9230,2022-10-22,"Injury","Sprain identified, rest and limited movement advised"
4339,2023-01-04,"Dental Cleaning","Cleaning done, no dental issues"
9472,2023-11-12,"Dental Cleaning","Cleaning done, no dental issues"
9706,2023-10-12,"Dental Cleaning","Cleaning done, no dental issues"
6851,2023-09-14,"Annual Checkup","All clear, healthy diet recommended"
6315,2023-05-05,"Injury","Minor surgery performed, recovery monitored"
2549,2023-12-22,"Injury","Physical therapy recommended for joint issues"
9659,2023-08-12,"Ear Infection","Medication and follow-up in 2 weeks for infection"
3520,2022-12-31,"Annual Checkup","Vaccination completed, next due in 1 year"
6087,2022-07-12,"Dental Cleaning","Cleaning done, no dental issues"
774,2023-12-22,"Annual Checkup","Diet adjustment recommended for weight management"
8396,2022-04-29,"Injury","Minor surgery performed, recovery monitored"
5468,2022-05-13,"Dental Cleaning","Cleaning done, no dental issues"
9187,2022-08-17,"Injury","Physical therapy recommended for joint issues"
7298,2023-10-26,"Dental Cleaning","Cleaning done, no dental issues"
1309,2022-10-30,"Annual Checkup","Vaccination completed, next due in 1 year"
9357,2023-11-24,"Ear Infection","Medication and follow-up in 2 weeks for infection"
1060,2022-04-09,"Injury","Minor surgery performed, recovery monitored"
6032,2023-11-23,"Annual Checkup","Vaccination completed, next due in 1 year"
6102,2022-10-12,"Ear Infection","Medication and follow-up in 2 weeks for infection"
8586,2023-09-27,"Annual Checkup","Vaccination completed, next due in 1 year"
4074,2022-09-04,"Annual Checkup","All clear, healthy diet recommended"
7788,2022-07-04,"Injury","Minor surgery performed, recovery monitored"
217,2023-05-20,"Annual Checkup","All clear, healthy diet recommended"
5501,2023-10-22,"Annual Checkup","Vaccination completed, next due in 1 year"
9578,2023-01-14,"Annual Checkup","Diet adjustment recommended for weight management"
627,2022-10-03,"Annual Checkup","All clear, healthy diet recommended"
8177,2022-08-04,"Injury","Sprain identified, rest and limited movement advised"
6609,2022-11-05,"Ear Infection","Medication and follow-up in 2 weeks for infection"
751,2023-09-26,"Annual Checkup","Diet adjustment recommended for weight management"
2735,2023-03-18,"Annual Checkup","All clear, healthy diet recommended"
7785,2023-07-25,"Ear Infection","Medication and follow-up in 2 weeks for infection"
9813,2023-01-01,"Annual Checkup","All clear, healthy diet recommended"
6409,2023-04-14,"Annual Checkup","Vaccination completed, next due in 1 year"
7970,2022-10-17,"Dental Cleaning","Cleaning done, no dental issues"
9718,2022-09-22,"Annual Checkup","All clear, healthy diet recommended"
9191,2023-10-25,"Annual Checkup","All clear, healthy diet recommended"
309,2022-05-20,"Injury","Sprain identified, rest and limited movement advised"
1169,2022-12-26,"Ear Infection","Medication and follow-up in 2 weeks for infection"
8804,2022-06-02,"Annual Checkup","All clear, healthy diet recommended"
4778,2023-10-06,"Annual Checkup","All clear, healthy diet recommended"
7281,2022-05-23,"Annual Checkup","Diet adjustment recommended for weight management"
4912,2022-10-31,"Annual Checkup","Diet adjustment recommended for weight management"
6816,2023-11-02,"Annual Checkup","Diet adjustment recommended for weight management"
4539,2022-11-19,"Annual Checkup","Diet adjustment recommended for weight management"
6121,2022-11-23,"Annual Checkup","Vaccination completed, next due in 1 year"
5503,2023-04-30,"Annual Checkup","Diet adjustment recommended for weight management"
8518,2022-04-05,"Annual Checkup","Vaccination completed, next due in 1 year"
1417,2022-06-26,"Injury","Minor surgery performed, recovery monitored"
2882,2022-09-07,"Dental Cleaning","Cleaning done, no dental issues"
1057,2023-02-23,"Injury","Physical therapy recommended for joint issues"
7833,2022-06-28,"Annual Checkup","All clear, healthy diet recommended"
6241,2022-05-18,"Annual Checkup","Diet adjustment recommended for weight management"
2805,2022-07-05,"Ear Infection","Medication and follow-up in 2 weeks for infection"
637,2022-05-11,"Annual Checkup","All clear, healthy diet recommended"
5198,2022-06-25,"Annual Checkup","All clear, healthy diet recommended"
8226,2022-11-06,"Annual Checkup","Vaccination completed, next due in 1 year"
5107,2022-08-13,"Annual Checkup","Vaccination completed, next due in 1 year"
4768,2022-06-26,"Injury","Sprain identified, rest and limited movement advised"
6901,2022-11-10,"Ear Infection","Medication and follow-up in 2 weeks for infection"
7972,2023-06-14,"Annual Checkup","Diet adjustment recommended for weight management"
9,2023-12-15,"Annual Checkup","All clear, healthy diet recommended"
1956,2023-09-24,"Dental Cleaning","Cleaning done, no dental issues"
6897,2022-08-11,"Annual Checkup","All clear, healthy diet recommended"
1540,2023-01-24,"Annual Checkup","Diet adjustment recommended for weight management"
6089,2022-05-11,"Injury","Sprain identified, rest and limited movement advised"
1057,2022-08-29,"Annual Checkup","Diet adjustment recommended for weight management"
9689,2022-04-15,"Annual Checkup","Vaccination completed, next due in 1 year"
8136,2023-10-03,"Annual Checkup","Vaccination completed, next due in 1 year"
6376,2022-04-04,"Injury","Sprain identified, rest and limited movement advised"
9930,2022-09-05,"Injury","Sprain identified, rest and limited movement advised"
6518,2023-03-26,"Annual Checkup","All clear, healthy diet recommended"
9558,2022-06-15,"Injury","Physical therapy recommended for joint issues"
1939,2022-10-06,"Injury","Minor surgery performed, recovery monitored"
6917,2023-11-22,"Annual Checkup","Diet adjustment recommended for weight management"
2278,2023-06-15,"Dental Cleaning","Cleaning done, no dental issues"
2544,2023-10-07,"Annual Checkup","All clear, healthy diet recommended"
1286,2022-12-14,"Annual Checkup","Vaccination completed, next due in 1 year"
4539,2023-10-13,"Dental Cleaning","Cleaning done, no dental issues"
5968,2023-02-13,"Dental Cleaning","Cleaning done, no dental issues"
2144,2023-08-30,"Annual Checkup","Diet adjustment recommended for weight management"
6087,2023-01-27,"Dental Cleaning","Cleaning done, no dental issues"
6556,2022-05-22,"Injury","Minor surgery performed, recovery monitored"
696,2022-12-27,"Dental Cleaning","Cleaning done, no dental issues"
7972,2022-11-18,"Annual Checkup","Vaccination completed, next due in 1 year"
4955,2023-02-11,"Dental Cleaning","Cleaning done, no dental issues"
9179,2023-10-19,"Annual Checkup","Vaccination completed, next due in 1 year"
5630,2023-05-24,"Annual Checkup","Vaccination completed, next due in 1 year"
6338,2022-04-17,"Dental Cleaning","Cleaning done, no dental issues"
997,2022-10-28,"Injury","Physical therapy recommended for joint issues"
4073,2023-10-16,"Dental Cleaning","Cleaning done, no dental issues"
831,2023-02-14,"Annual Checkup","Diet adjustment recommended for weight management"
2549,2022-10-30,"Injury","Minor surgery performed, recovery monitored"
1640,2023-08-05,"Annual Checkup","Vaccination completed, next due in 1 year"
4278,2023-01-15,"Dental Cleaning","Cleaning done, no dental issues"
3040,2022-05-02,"Ear Infection","Medication and follow-up in 2 weeks for infection"
5958,2022-06-22,"Annual Checkup","All clear, healthy diet recommended"
1006,2022-05-09,"Annual Checkup","All clear, healthy diet recommended"
3444,2023-01-22,"Injury","Sprain identified, rest and limited movement advised"
1585,2022-06-27,"Annual Checkup","Vaccination completed, next due in 1 year"
2016,2023-03-02,"Injury","Physical therapy recommended for joint issues"
7716,2022-08-19,"Injury","Sprain identified, rest and limited movement advised"
9632,2022-09-17,"Annual Checkup","Vaccination completed, next due in 1 year"
7515,2023-10-16,"Injury","Physical therapy recommended for joint issues"
2794,2022-06-22,"Dental Cleaning","Cleaning done, no dental issues"
9472,2022-09-23,"Annual Checkup","All clear, healthy diet recommended"
9445,2022-07-06,"Annual Checkup","Vaccination completed, next due in 1 year"
2448,2023-01-14,"Injury","Minor surgery performed, recovery monitored"
3228,2022-07-17,"Dental Cleaning","Cleaning done, no dental issues"
1292,2023-05-30,"Dental Cleaning","Cleaning done, no dental issues"
4238,2023-08-19,"Injury","Physical therapy recommended for joint issues"
3228,2022-04-03,"Annual Checkup","Vaccination completed, next due in 1 year"
7515,2022-10-10,"Annual Checkup","Diet adjustment recommended for weight management"
9124,2022-12-23,"Ear Infection","Medication and follow-up in 2 weeks for infection"
1207,2022-07-07,"Dental Cleaning","Cleaning done, no dental issues"
6141,2023-12-18,"Annual Checkup","All clear, healthy diet recommended"
337,2023-01-01,"Annual Checkup","Diet adjustment recommended for weight management"
5017,2023-08-25,"Dental Cleaning","Cleaning done, no dental issues"
7281,2022-11-16,"Annual Checkup","Vaccination completed, next due in 1 year"
7956,2023-08-22,"Injury","Sprain identified, rest and limited movement advised"
5940,2023-06-28,"Annual Checkup","Vaccination completed, next due in 1 year"
9960,2022-07-22,"Dental Cleaning","Cleaning done, no dental issues"
6725,2023-09-02,"Annual Checkup","Diet adjustment recommended for weight management"
5850,2022-12-01,"Annual Checkup","Vaccination completed, next due in 1 year"
3856,2023-10-29,"Annual Checkup","Vaccination completed, next due in 1 year"
8586,2022-08-25,"Dental Cleaning","Cleaning done, no dental issues"
5890,2022-05-16,"Annual Checkup","Vaccination completed, next due in 1 year"
6121,2023-11-16,"Annual Checkup","All clear, healthy diet recommended"
7778,2022-04-18,"Annual Checkup","Diet adjustment recommended for weight management"
8903,2023-10-22,"Dental Cleaning","Cleaning done, no dental issues"
4056,2023-01-10,"Annual Checkup","All clear, healthy diet recommended"
454,2022-08-08,"Annual Checkup","Diet adjustment recommended for weight management"
637,2022-07-11,"Dental Cleaning","Cleaning done, no dental issues"
3291,2023-04-06,"Annual Checkup","Diet adjustment recommended for weight management"
2471,2023-05-01,"Annual Checkup","Vaccination completed, next due in 1 year"
8833,2022-04-29,"Dental Cleaning","Cleaning done, no dental issues"
2726,2022-11-18,"Injury","Physical therapy recommended for joint issues"
4024,2023-08-11,"Ear Infection","Medication and follow-up in 2 weeks for infection"
3846,2023-07-06,"Annual Checkup","Vaccination completed, next due in 1 year"
7144,2022-09-18,"Annual Checkup","Diet adjustment recommended for weight management"
9018,2023-10-30,"Annual Checkup","Diet adjustment recommended for weight management"
7825,2022-10-09,"Annual Checkup","Diet adjustment recommended for weight management"
7416,2023-08-20,"Dental Cleaning","Cleaning done, no dental issues"
4778,2023-05-13,"Annual Checkup","All clear, healthy diet recommended"
2178,2023-12-15,"Dental Cleaning","Cleaning done, no dental issues"
5404,2023-06-28,"Annual Checkup","Vaccination completed, next due in 1 year"
6725,2022-07-02,"Annual Checkup","Vaccination completed, next due in 1 year"
4768,2022-07-04,"Dental Cleaning","Cleaning done, no dental issues"
1006,2023-09-17,"Annual Checkup","Diet adjustment recommended for weight management"
239,2023-09-17,"Annual Checkup","Diet adjustment recommended for weight management"
7788,2023-08-08,"Injury","Sprain identified, rest and limited movement advised"
3723,2023-04-25,"Ear Infection","Medication and follow-up in 2 weeks for infection"
2869,2023-06-23,"Injury","Physical therapy recommended for joint issues"
4912,2023-10-28,"Annual Checkup","Vaccination completed, next due in 1 year"
9813,2023-03-05,"Dental Cleaning","Cleaning done, no dental issues"
236,2023-06-19,"Dental Cleaning","Cleaning done, no dental issues"
2794,2023-01-11,"Dental Cleaning","Cleaning done, no dental issues"
379,2022-05-15,"Ear Infection","Medication and follow-up in 2 weeks for infection"
1370,2022-08-06,"Annual Checkup","Vaccination completed, next due in 1 year"
3605,2022-08-09,"Injury","Physical therapy recommended for joint issues"
2448,2022-10-13,"Annual Checkup","Vaccination completed, next due in 1 year"
6824,2023-03-20,"Ear Infection","Medication and follow-up in 2 weeks for infection"
3723,2023-10-02,"Dental Cleaning","Cleaning done, no dental issues"
8208,2023-03-12,"Injury","Sprain identified, rest and limited movement advised"
637,2023-07-07,"Injury","Physical therapy recommended for joint issues"
8804,2022-09-07,"Annual Checkup","Vaccination completed, next due in 1 year"
2887,2023-07-13,"Injury","Physical therapy recommended for joint issues"
8967,2023-04-30,"Injury","Sprain identified, rest and limited movement advised"
8387,2022-07-09,"Dental Cleaning","Cleaning done, no dental issues"
3040,2023-02-17,"Annual Checkup","Diet adjustment recommended for weight management"
6338,2022-05-18,"Annual Checkup","All clear, healthy diet recommended"
2840,2023-12-03,"Ear Infection","Medication and follow-up in 2 weeks for infection"
7080,2023-04-21,"Dental Cleaning","Cleaning done, no dental issues"
7757,2023-08-03,"Dental Cleaning","Cleaning done, no dental issues"
8572,2023-09-05,"Annual Checkup","All clear, healthy diet recommended"
6147,2023-06-04,"Annual Checkup","All clear, healthy diet recommended"
4410,2023-10-30,"Dental Cleaning","Cleaning done, no dental issues"
2783,2022-11-06,"Annual Checkup","Diet adjustment recommended for weight management"
5799,2023-06-19,"Annual Checkup","All clear, healthy diet recommended"
5037,2022-07-10,"Annual Checkup","Diet adjustment recommended for weight management"
1939,2023-12-24,"Injury","Sprain identified, rest and limited movement advised"
9221,2022-06-26,"Dental Cleaning","Cleaning done, no dental issues"
5984,2022-04-27,"Ear Infection","Medication and follow-up in 2 weeks for infection"
9124,2023-01-02,"Annual Checkup","Diet adjustment recommended for weight management"
9968,2023-10-11,"Annual Checkup","Vaccination completed, next due in 1 year"
2843,2022-06-23,"Injury","Sprain identified, rest and limited movement advised"
2513,2023-03-14,"Annual Checkup","All clear, healthy diet recommended"
3300,2022-09-09,"Dental Cleaning","Cleaning done, no dental issues"
3223,2023-10-01,"Annual Checkup","All clear, healthy diet recommended"
9186,2022-10-23,"Annual Checkup","Diet adjustment recommended for weight management"
1956,2023-11-16,"Annual Checkup","Vaccination completed, next due in 1 year"
8691,2022-11-16,"Dental Cleaning","Cleaning done, no dental issues"
5987,2023-02-22,"Injury","Physical therapy recommended for joint issues"
6963,2022-10-06,"Annual Checkup","Diet adjustment recommended for weight management"
7785,2022-09-22,"Dental Cleaning","Cleaning done, no dental issues"
2881,2022-12-10,"Annual Checkup","Diet adjustment recommended for weight management"
3040,2022-09-07,"Annual Checkup","Diet adjustment recommended for weight management"
2869,2023-10-21,"Injury","Sprain identified, rest and limited movement advised"
3304,2023-07-25,"Annual Checkup","Diet adjustment recommended for weight management"
5090,2023-01-03,"Injury","Sprain identified, rest and limited movement advised"
8226,2022-08-20,"Injury","Physical therapy recommended for joint issues"
4339,2022-05-19,"Dental Cleaning","Cleaning done, no dental issues"
696,2023-05-08,"Dental Cleaning","Cleaning done, no dental issues"
427,2022-11-08,"Annual Checkup","Diet adjustment recommended for weight management"
864,2023-11-14,"Injury","Physical therapy recommended for joint issues"
8940,2023-06-05,"Injury","Physical therapy recommended for joint issues"
8789,2022-05-01,"Annual Checkup","Vaccination completed, next due in 1 year"
7833,2022-04-07,"Dental Cleaning","Cleaning done, no dental issues"
5406,2022-11-02,"Annual Checkup","Diet adjustment recommended for weight management"
3228,2022-12-23,"Annual Checkup","Diet adjustment recommended for weight management"
2178,2022-05-28,"Dental Cleaning","Cleaning done, no dental issues"
2729,2023-04-09,"Annual Checkup","Diet adjustment recommended for weight management"
2342,2023-05-07,"Annual Checkup","Vaccination completed, next due in 1 year"
4834,2023-10-17,"Annual Checkup","All clear, healthy diet recommended"
4074,2023-03-25,"Injury","Minor surgery performed, recovery monitored"
